SMOOTHING,JM_LAMBDA,ndcg@10,map@10,mrr,p@10
jm,0.1,0.3588,0.2223,0.5313,0.2142
jm,0.2,0.3639,0.2262,0.5291,0.2191
jm,0.3,0.3708,0.2309,0.5375,0.224
jm,0.5,0.3694,0.2301,0.5356,0.2231
jm,0.7,0.3687,0.23,0.5316,0.2236
jm,0.9,0.3562,0.2205,0.4993,0.2182
