RM_VARIANT,FB_LAMBDA,FB_TERMS,SEED_WEIGHT_TEMP,MIN_SEED_DF,RM_BASE,ql_ndcg,clean,uniform@0.25,uniform@0.5,uniform@0.75,adjacent@0.25,outside@0.25,adjacent@0.5,outside@0.5,adjacent@0.75,outside@0.75,noisy_mean,retention,max_call_s
rm1,0.0,30,1.0,2,rm1,0.3685,0.4151,0.4001,0.3809,0.3018,0.4129,0.4059,0.3863,0.373,0.3207,0.2907,0.3636,0.8758,0.009
rm2,0.0,30,1.0,2,rm1,0.3685,0.3466,0.3504,0.333,0.2673,0.3563,0.3457,0.328,0.3301,0.2627,0.279,0.3169,0.9143,0.015
rm3,0.0,30,1.0,2,rm1,0.3685,0.4151,0.4001,0.3809,0.3018,0.4129,0.4059,0.3863,0.373,0.3207,0.2907,0.3636,0.8758,0.009
rm3,0.3,30,1.0,2,rm1,0.3685,0.415,0.4071,0.399,0.3543,0.418,0.4081,0.4059,0.3905,0.3631,0.3451,0.3879,0.9346,0.0044
rm3,0.5,30,1.0,2,rm1,0.3685,0.4118,0.4062,0.4014,0.3707,0.4127,0.4077,0.4065,0.3969,0.3766,0.3652,0.3938,0.9562,0.0038
rm3,0.7,30,1.0,2,rm1,0.3685,0.4002,0.3959,0.3898,0.3747,0.3989,0.3937,0.3962,0.3874,0.3815,0.3721,0.3878,0.969,0.0036
rm3,0.9,30,1.0,2,rm1,0.3685,0.382,0.38,0.3784,0.3719,0.382,0.3797,0.3786,0.3775,0.3776,0.3716,0.3775,0.9882,0.0101
