RM_VARIANT,FB_LAMBDA,FB_TERMS,SEED_WEIGHT_TEMP,MIN_SEED_DF,RM_BASE,COHERENCE_POWER,ql_ndcg,clean,uniform@0.25,uniform@0.5,uniform@0.75,adjacent@0.25,outside@0.25,adjacent@0.5,outside@0.5,adjacent@0.75,outside@0.75,noisy_mean,retention,max_call_s
rm3,0.5,60,1.0,2,rm1,2,0.3693,0.4156,0.407,0.3973,0.3685,0.41,0.4104,0.4081,0.3998,0.3806,0.3633,0.3939,0.9478,0.0098
rm3,0.5,60,1.0,2,rm1,4,0.3693,0.416,0.4063,0.3967,0.3684,0.4112,0.4115,0.4077,0.3962,0.3768,0.3614,0.3929,0.9445,0.0068
rm3,0.7,30,1.0,1,rm1,0,0.3693,0.3974,0.397,0.388,0.3733,0.3977,0.3963,0.3981,0.3943,0.3822,0.3743,0.389,0.979,0.0065
rm3,0.7,30,1.0,1,rm1,1,0.3693,0.4006,0.398,0.3886,0.3749,0.4013,0.3982,0.4009,0.3942,0.3844,0.375,0.3906,0.975,0.007
rm3,0.7,30,1.0,1,rm1,2,0.3693,0.4015,0.399,0.3874,0.3747,0.4013,0.3986,0.4028,0.3941,0.3837,0.3733,0.3906,0.9727,0.0071
rm3,0.7,30,1.0,1,rm1,4,0.3693,0.4047,0.4001,0.3883,0.3745,0.4031,0.3996,0.4032,0.3914,0.3846,0.3723,0.3908,0.9656,0.0058
rm3,0.7,30,1.0,2,rm1,0,0.3693,0.4,0.3964,0.3884,0.3733,0.3981,0.3944,0.3996,0.3921,0.3824,0.3709,0.3884,0.9711,0.0038
rm3,0.7,30,1.0,2,rm1,1,0.3693,0.401,0.397,0.3865,0.3734,0.3998,0.3958,0.4016,0.3937,0.3831,0.3711,0.3891,0.9703,0.0079
rm3,0.7,30,1.0,2,rm1,2,0.3693,0.4014,0.3991,0.387,0.3723,0.4011,0.3965,0.4018,0.391,0.3824,0.3704,0.3891,0.9694,0.0049
rm3,0.7,30,1.0,2,rm1,4,0.3693,0.4057,0.3987,0.3867,0.3705,0.4021,0.3992,0.4036,0.3895,0.385,0.3686,0.3893,0.9597,0.0058
rm3,0.7,60,1.0,1,rm1,0,0.3693,0.3948,0.3925,0.3862,0.3757,0.3951,0.395,0.3956,0.3897,0.3799,0.375,0.3872,0.9807,0.0143
rm3,0.7,60,1.0,1,rm1,1,0.3693,0.3978,0.3953,0.3862,0.3752,0.3977,0.3956,0.3978,0.3916,0.3799,0.3755,0.3883,0.9761,0.0077
rm3,0.7,60,1.0,1,rm1,2,0.3693,0.3999,0.3963,0.3857,0.374,0.4005,0.3962,0.3979,0.3931,0.3818,0.374,0.3888,0.9723,0.0062
rm3,0.7,60,1.0,1,rm1,4,0.3693,0.4028,0.3978,0.386,0.3731,0.3997,0.3976,0.4014,0.3899,0.3814,0.3732,0.3889,0.9654,0.0074
rm3,0.7,60,1.0,2,rm1,0,0.3693,0.3978,0.3942,0.3866,0.3718,0.395,0.392,0.3978,0.3897,0.3808,0.3714,0.3866,0.9719,0.0077
rm3,0.7,60,1.0,2,rm1,1,0.3693,0.3997,0.3959,0.3876,0.3732,0.3977,0.3941,0.3997,0.3901,0.3821,0.3731,0.3881,0.971,0.008
rm3,0.7,60,1.0,2,rm1,2,0.3693,0.4008,0.3974,0.3863,0.3725,0.3981,0.3951,0.3999,0.39,0.3832,0.3713,0.3882,0.9687,0.0063
rm3,0.7,60,1.0,2,rm1,4,0.3693,0.4041,0.3971,0.3856,0.3712,0.4004,0.3979,0.4016,0.3871,0.3835,0.3683,0.3881,0.9603,0.0063
